name,averageRevenue,medianRevenue,totalRevenue,publishedGames
岛叶游戏,210800,210800,210800,1
Ilan Papini,98895,83711,296685,3
Masterstrike,105955.5,105955.5,211911,2
Retroware,179118.7,41453.5,1791187,10
Throwback Entertainment,38913,9894.5,389130,10
The Stork Burnt Down,209409,209409,209409,1
Housemade Inc.,209564,209564,209564,1
Kinto Games LLC,66234,27777,264936,4
Jason Rohrer,787327.6666666666,210570,2361983,3
Abylight Studios,213874.2857142857,82966,1497120,7
Freehold Games,209228,209228,209228,1
DistrictWare inc.,209326,209326,209326,1
rokaplay,75868.28571428571,13252.5,1062156,14
Klick Ink L.P.,70283.0222917337,1132,210849.0668752011,3
BRUTE FORCE,206977,206977,206977,1
The Deep End Games,208656,208656,208656,1
Phantomisreal Ltd.,208604,208604,208604,1
"PopCap Games, Inc.",789600.1,18696.5,23688003,30
Red Vibe Studio,134921,134921,269842,2
YUKIUSAGI Games,209300,209300,209300,1
Ziggurat,13635.701612903225,724.5,1690827,124
Thylacine Studios LLC,322767.6,209095,1613838,5
Loco Motion Devs,207570,207570,207570,1
MindThunk,207895,207895,207895,1
Konfa Games,207885,207885,207885,1
Playstack,5313059.75,2244123,42504478,8
One Up Plus Entertainment,81753,20076,245259,3
Clarus Victoria,236434.2,207293,1182171,5
"Tozai Games, Inc.",131367.5,131367.5,262735,2
Limited Run Games,149328.66666666666,192575,447986,3
tobspr Games,1508887.8,207198,7544439,5
Hammer Labs,113342.5,113342.5,226685,2
Leonardo Interactive,120726.85714285714,117106,845088,7
Trophy Games,277667.02900476125,123853.5,1110668.116019045,4
Phosfiend Systems,206916,206916,206916,1
Green Man Gaming Publishing,121739.45454545454,14341.5,2678268,22
Phosphor Game Studios,206980,206980,206980,1
Olive Panda Studio,203862,203862,203862,1
"CFK Co., Ltd.",39668.65625,4599.5,1269397,32
Red Level Games,206283,206283,206283,1
EMIKA_GAMES,224913.2857142857,169838,1574393,7
Diamondhenge Entertainment,104692,104692,209384,2
Conglomerate 5,9138.219512195123,1891,1873335,205
ChillyRoom,174189.25,155514.5,696757,4
Lunar Giant Studios,205783,205783,205783,1
2 Left Thumbs,177052.5625,23024,2832841,16
GAMES FOR HUMANS,108238,108238,216476,2
Vision Games Publishing LTD,101009.25,97209,404037,4
Snap Finger Click,81688.66666666667,29827,245066,3
Unorthodox Studio,205331,205331,205331,1
Super Duper Game Company,205276,205276,205276,1
Moment HK,185160,185160,185160,1
Ripples Asia Venture,74843,13871,224529,3
Team Reptile,3322459,2870128,13289836,4
KevTheDev,204298,204298,204298,1
AMC Games,93925.2,47809,469626,5
Shiro Unlimited,829991.5,829991.5,1659983,2
East2West Games(Greater China),204690,204690,204690,1
TreeFortress Games,177803.33333333334,199294,533410,3
"Arcen Games, LLC",172285.72727272726,96285,1895143,11
热区网络,203649,203649,203649,1
Super Rare Originals,169039.375,90868,1352315,8
Wet n' Juicy Games,204609,204609,204609,1
Wargaming Labs,1624706.25,170421.5,6498825,4
STP WORKS,42846.125,17022,342769,8
Valorware,48152.77777777778,3521,433375,9
Mauris Games OU,102187.5,102187.5,204375,2
DnS Development,82452.75,51400.5,329811,4
Rablo Games,105421,105421,210842,2
Creative Pudding Hungary Llc.,203031,203031,203031,1
Alien Pixel Studios,113048.5,113048.5,226097,2
Artur Smiarowski,363696,363696,727392,2
Bugbyte Ltd.,2480461.3333333335,200552,7441384,3
Defiance Game Studio,203289,203289,203289,1
Screenwave Media,201632,201632,201632,1
Viva Media,46799.36,32742,1169984,25
Quadruple-Q,219398,219398,219398,1
Garage51,205261,205261,205261,1
Ysbryd Games,1885927,191911,13201489,7
Monkey-With-a-Bomb,229773,229773,229773,1
Ishtar Games,310705.3333333333,125928,1864232,6
Alessandro Guzzo,164338,164338,328676,2
Overly Complicated Games,201426,201426,201426,1
Egosoft,3024596.125,317223,24196769,8
UFO Interactive Games,185967,185967,371934,2
Mad Fellows,201189,201189,201189,1
Skatanic Studios,200902,200902,200902,1
Ionized Games,74060.66666666667,19302,222182,3
Fish Factory Games,200873,200873,200873,1
Blue Wizard Digital,96517.75,91632.5,386071,4
Dingo Games,209442,223579.5,837768,4
Charm Games,130354,130354,260708,2
FDG Entertainment,264360.25,170843.5,1057441,4
MoeNovel,237437.375,113666,1899499,8
AMG GAMES,23784,902,237840,10
CODELIFE Studio,199870,199870,199870,1
VisualPointG,203348,203348,203348,1
Megame LLC,48102.4,4485,240512,5
CubeCube Sports Ltd.,114244.25,128727,456977,4
Bigosaur,31413.85714285714,1798,219897,7
Pixel Machine,199207,199207,199207,1
Klace,90239.33333333333,67236,270718,3
"Fantasy Flight Publishing, Inc.",111548.5,111548.5,223097,2
D&A Studios,199312,199312,199312,1
Blazing Griffin,238275.83333333334,164963,1429655,6
Early Morning Studio,133698,133698,267396,2
Ubisoft Entertainment,5169799,6693201,36188593,7
ZackBellGames,199150,199150,199150,1
Cheesecake Dev,1178129.5555555555,198614,10603166,9
D3PUBLISHER,1797365.9583333333,502505.5,43136783,24
M2H,132698.66666666666,146741,398096,3
Laina Interactive,198583,198583,198583,1
Zen Studios,828137.6893374708,197295,8281376.893374708,10
Studio Evil,122635.33333333333,168279,367906,3
Flying Mollusk,198644,198644,198644,1
Flox Studios,108429.5,100167.5,433718,4
The Station Game ltd,101563.5,101563.5,203127,2
ACTION SQUARE,469559.5,469559.5,939119,2
"Orbital Speed Studio Co.,Ltd.",197270,197270,197270,1
"Laser Guided Games, LLC",150246,150246,300492,2
Autumn Moon Entertainment,199032,199032,199032,1
ZOOM Platform Media,15278.07142857143,547.5,213893,14
Creative Concepts,198147,198147,198147,1
Satosha Nakamoti,197379,197379,197379,1
LoveStoryProject,35030.230769230766,16645,455393,13
ponett,192635,192635,192635,1
PolyKid,197704,197704,197704,1
Witte Studio,34790.684739688346,976.5,208744.1084381301,6
Radatomic Studios,192849,192849,192849,1
Z-Software GmbH,51198,3217,204792,4
Dustwind Studios,197846,197846,197846,1
Whippering,100354,100354,200708,2
AceGamer Network,196678,196678,196678,1
Siris Pendrake,199577,199577,199577,1
SuperGG.com,278439.4,35379,2784394,10
Fluffy Kitten Studios,196562,196562,196562,1
White Door Games,179729,179729,359458,2
Uppercut Games Pty Ltd,358551,391021,1434204,4
Sludj Games,196531,196531,196531,1
Factus Games,209335.6,196639,1046678,5
FawnGame,128960,173406,386880,3
Milk Bottle Studio,53505.8,20659,267529,5
Asteroid Game Studio,366732.25,128489,1466929,4
Digital Tribe,103095.81481481482,22062,2783587,27
Childish Things Ltd,109179.57142857143,91887,764257,7
FlyInside Inc.,195779,195779,195779,1
